source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,We will bring safety to our cities. We will bring hope to our most distressed communities — and in everything we do we will stand in solidarity with the men and women of LAW ENFORCEMENT! Thank you to the @NYCPBA for your endorsement. God Bless the #NYPD and God Bless America! https://t.co/u86rfizIom,8/15/2020 4:14,18108,69882,FALSE,1.29449E+18
Twitter for iPhone,Today it was my great honor to proudly accept the endorsement of the @NYCPBA! I have deeply and profoundly admired the brave men and women of the #NYPD for my entire life. New York’s Finest are truly the best of the best — I will NEVER let you down! #MAGA https://t.co/o1l5kAx34v,8/15/2020 3:59,23082,88875,FALSE,1.29448E+18
Twitter for iPhone,Senator @SteveDaines is doing a tremendous job for the people of Montana! He just helped me pass the Great American Outdoors Act which protects the Montana way of life. His opponent Steve Bullock would be an absolute horror for Montana...,8/14/2020 23:43,13443,56093,FALSE,1.29442E+18
Twitter for iPhone,...Steve Bullock is totally against your Second Amendment and just received an F rating from the @NRA. Steve on the other hand just received an A+ rating. Vote for Steve Daines. He has always had my Complete and Total Endorsement! #MTSEN https://t.co/Hi75F35DY6,8/14/2020 23:43,7541,27918,FALSE,1.29442E+18
Twitter for iPhone,Senator @CoryGardner is doing a terrific job - we just passed his landmark legislation the Great American Outdoors Act. Strong on our Military Vets and the Second Amendment Cory has always had my Complete and Total Endorsement! https://t.co/umtvqqkMFq,8/14/2020 23:41,8779,34110,FALSE,1.29442E+18
Twitter for iPhone,The biggest difference between the Presidential Race in 2020 and that of 2016 is the 2016 candidate Crooked Hillary Clinton was much smarter and sharper than Slow  Joe we have even more ENTHUSIASM now and @FoxNews has become politically correct and no longer the big deal!,8/14/2020 22:29,27542,118287,FALSE,1.2944E+18
Twitter for iPhone,I promised YOU I would not take a dime of salary as your President. I donate the entire $400000! It is my honor to give $100000 to @NatlParkService to help repair and restore our GREAT National Monuments. So important to our American History! Thank You!! https://t.co/4ETkUZ9yUf,8/14/2020 22:15,63432,262398,FALSE,1.2944E+18
Twitter for iPhone,Going up the East River Drive and fast. THANK YOU NYPD! On November 3rd we’re bringing you back! #LESM #MAGA https://t.co/dDHbO1f3yI,8/14/2020 21:41,19573,74457,FALSE,1.29439E+18
Twitter for iPhone,RT @SaraCarterDC: #BREAKING and #Developing Ex-FBI Lawyer Kevin Clinesmith To Plead Guilty In #Durham Probe  https://t.co/T35FgZhY0l,8/14/2020 21:14,9641,0,TRUE,1.29438E+18
Twitter for iPhone,RT @seanmdav: Today is a great day for those who still believe in the rule of law and a terrible day for Russian collusion hoaxers who ins…,8/14/2020 21:14,11325,0,TRUE,1.29438E+18
Twitter for iPhone,RT @seanmdav: Clinesmith knew after Trump's election that he was in big legal trouble but that didn't stop him from fabricating evidence w…,8/14/2020 21:13,7900,0,TRUE,1.29438E+18
Twitter for iPhone,RT @ChuckRossDC: Kevin Clinesmith was not a bit player in Crossfire Hurricane. *He worked with Strzok to arrange sending an FBI agent int…,8/14/2020 21:13,11671,0,TRUE,1.29438E+18
Twitter for iPhone,RT @catturd2: Clinesmith In Order to Save Himself Has Implicated Others on Crossfire Hurricane -- Who Ultimately Hid the Exculpatory Info…,8/14/2020 21:13,11430,0,TRUE,1.29438E+18
Twitter for iPhone,RT @seanmdav: Clinesmith's guilty plea is the beginning of the end of the NeverTrump and Resistance delusion that there was no spying no c…,8/14/2020 21:02,7395,0,TRUE,1.29438E+18
Twitter for iPhone,RT @seanmdav: Kevin Clinesmith the corrupt FBI lawyer who deliberately fabricated evidence to justify spying on Page will plead guilty to…,8/14/2020 21:02,7898,0,TRUE,1.29438E+18
Twitter for iPhone,"RT @MZHemingway: Kevin Clinesmith reportedly pleading guilty today was the FBI ""Resistance"" figure who worried at the time of Trump's ele…",8/14/2020 21:01,9307,0,TRUE,1.29438E+18
Twitter for iPhone,RT @seanmdav: That attorney Kevin Clinesmith now faces prison time for deliberately falsifying documents in service of illegal warrants t…,8/14/2020 20:59,8878,0,TRUE,1.29438E+18
Twitter for iPhone,RT @Jim_Jordan: Kevin Clinesmith:-Worked for Peter Strzok.-Deliberately doctored #FISA evidence.-Bragged about being part of the “resis…,8/14/2020 20:59,14719,0,TRUE,1.29438E+18
Twitter for iPhone,RT @JudiciaryGOP: #BREAKING: Kevin Clinesmith expected to plead guilty. Don’t forget: Clinesmith texted “Viva le resistance” shortly aft…,8/14/2020 20:59,8324,0,TRUE,1.29438E+18
Twitter for iPhone,Just landed in New York to see my brother Robert. We’re going for New York on November 3rd. We’re going to Reduce Taxes Increase Law Enforcement and bring it back BIG TIME! #MAGA https://t.co/VIxo7yWyQs,8/14/2020 20:05,23129,87980,FALSE,1.29436E+18
Twitter for iPhone,"RT @TrumpWarRoom: ""Today we honor the brave Native American/First Nations soldiers who served our Nation &amp; played a vital role in America'…",8/14/2020 19:13,9747,0,TRUE,1.29435E+18
Twitter for iPhone,I am ready to send Rental Assistance payments to hardworking Americans that have been hurt by the ChinaVirus. DEMOCRATS ARE HOLDING THIS UP!,8/14/2020 19:02,35408,144729,FALSE,1.29435E+18
Twitter for iPhone,I am ready to send $105B to the states to help open schools safely with additional PPE. DEMOCRATS ARE HOLDING THIS UP!,8/14/2020 18:55,31997,131097,FALSE,1.29435E+18
Twitter for iPhone,Great News! https://t.co/eMTwXslvQX,8/14/2020 18:49,9751,36860,FALSE,1.29435E+18
Twitter for iPhone,RT @WhiteHouse: LIVE: President @realDonaldTrump holds a news conference https://t.co/jcJvNLJk4Y,8/14/2020 17:35,6753,0,TRUE,1.29433E+18
Twitter for iPhone,https://t.co/FL978fEzzq,8/14/2020 16:51,23564,54947,FALSE,1.29432E+18
Twitter for iPhone,I am ready to send more money to States and Local governments to save jobs for Police Fire Fighters First Responders and Teachers. DEMOCRATS ARE HOLDING THIS UP!,8/14/2020 16:26,33179,132892,FALSE,1.29431E+18
Twitter for iPhone,I am ready to have @USTreasury and @SBA send additional PPP payments to small businesses that have been hurt by the ChinaVirus. DEMOCRATS ARE HOLDING THIS UP!,8/14/2020 16:25,18406,63041,FALSE,1.29431E+18
Twitter for iPhone,I have directed @stevenmnuchin1 to get ready to send direct payments ($3400 for family of four) to all Americans. DEMOCRATS ARE HOLDING THIS UP!,8/14/2020 16:23,37520,130934,FALSE,1.29431E+18
Twitter for iPhone,...Congress should send me H.R.473 ASAP and make this happen! It will INSPIRE all women to continue being bold and brave in achieving their DREAMS!,8/14/2020 16:20,11561,58649,FALSE,1.29431E+18
Twitter for iPhone,I have done more for WOMEN than just about any President in HISTORY! As we celebrate the 100th Anniversary of women’s voting rights we should build a BEAUTIFUL STATUE in Washington D.C. to honor the many brave women who made this possible for our GREAT COUNTRY...,8/14/2020 16:20,35800,172391,FALSE,1.29431E+18
Twitter for iPhone,Everybody does phony books on Donald Trump and Republicans just like the Fake Dossier which turned out to be a total fraud perpetrated by Crooked Hillary Clinton and the DNC...,8/14/2020 16:17,14832,59509,FALSE,1.29431E+18
Twitter for iPhone,...The Bob Woodward book will be a FAKE as always just as many of the others have been. But believe it or not lately I’ve been getting lots of GREAT books!,8/14/2020 16:17,7363,33540,FALSE,1.29431E+18
Twitter for iPhone,"RT @dcexaminer: Trump: ""Which is easier: dealing with the Democrats or dealing with the Middle East."" Mnuchin: ""...I'll be hopeful that w…",8/14/2020 13:54,12649,0,TRUE,1.29427E+18
Twitter for iPhone,RT @RLHeinrichs: An amazing achievement. A credit to Israel and the UAE and the Trump administration’s strategy for the ME. The Trump admin…,8/14/2020 13:53,7153,0,TRUE,1.29427E+18
Twitter for iPhone,Vote for TRUMP on November 3rd. I am going to bring our beloved New York back! https://t.co/Xi7yQ45jvy,8/14/2020 13:52,37290,138646,FALSE,1.29427E+18
